time,eul_z_sensor2,eul_y_sensor2,eul_x_sensor2,gyro_x_sensor2,gyro_y_sensor2,gyro_z_sensor2,linacc_x_sensor2,linacc_y_sensor2,linacc_z_sensor2,quat_w_sensor2,quat_x_sensor2,quat_y_sensor2,quat_z_sensor2
1.76,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.0,0.69,0.03,0.72,0.02
1.77,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.04,0.69,0.03,0.72,0.02
1.79,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.01,0.0,0.69,0.03,0.72,0.02
1.8,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.02,0.69,0.03,0.72,0.02
1.81,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
1.82,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.02,0.69,0.03,0.72,0.02
1.83,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.02,0.0,0.69,0.03,0.72,0.02
1.84,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.01,0.0,0.69,0.03,0.72,0.02
1.85,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.0,0.69,0.03,0.72,0.02
1.86,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.03,0.01,0.69,0.03,0.72,0.02
1.87,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
1.89,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
1.9,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.01,0.69,0.03,0.72,0.02
1.91,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
1.92,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.01,0.0,0.69,0.03,0.72,0.02
1.93,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.0,0.01,0.69,0.03,0.72,0.02
1.94,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.01,0.02,0.69,0.03,0.72,0.02
1.95,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
1.96,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
1.97,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.01,0.01,0.69,0.03,0.72,0.02
1.99,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.02,0.69,0.03,0.72,0.02
2.0,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.0,0.69,0.03,0.72,0.02
2.02,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
2.03,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.03,0.69,0.03,0.72,0.02
2.04,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
2.05,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
2.06,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.01,0.69,0.03,0.72,0.02
2.07,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.0,0.69,0.03,0.72,0.02
2.08,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
2.09,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.01,0.69,0.03,0.72,0.02
